"species","start_year","end_year","trend_type","region","trend","lci","uci","percent_change","p_ch_lci","p_ch_uci","prob_decline","prob_decline_GT30","prob_decline_GT50","prob_decline_GT70","mean_abundance","mean_observed","mean_n_surveys","centered_log_trend","centered_log_trend_lci","centered_log_trend_uci","region_type"
"American Avocet",2004,2024,"15-year","Atlantic Canada",-6.34708661135888,-16.7924023662396,4.17093370784656,-73.3713031316412,-97.4691892480701,126.428526287831,0.8865,0.80775,0.7125,0.53975,0.033093349343,NA,NA,-0.161646088242647,-0.410031281545525,0.0195381585587572,"Region"
"American Avocet",2004,2024,"15-year","East Inland",-0.0210658529207387,-10.1647837695478,11.5809200180967,-4.38562629609066,-88.2798720889968,794.95123856089,0.52075,0.3775,0.26575,0.13825,0.0423898725739167,NA,NA,-0.0961503703968719,-0.334221971411288,0.0778397787544205,"Region"
"American Avocet",2004,2024,"15-year","Midcontinental",-3.42167051682907,-9.3650987429146,4.11493938915443,-53.0827534025034,-86.0070488231087,124.006708337343,0.84825,0.71425,0.53675,0.248,336.636283297909,NA,NA,-0.129901885754799,-0.359678264847156,0.00130159775297117,"Region"
"American Avocet",2004,2024,"15-year","Northeast US Coastal",11.9838950630768,2.70973985533543,22.7972780990845,824.138090269504,70.6996321829269,5978.19800625751,0.00475,0.00075,0.00025,0,21.4024577002982,NA,NA,0.0176809766863111,-0.205942976622179,0.18028896116603,"Region"
"American Avocet",2004,2024,"15-year","Pacific and Intermountain",6.27588682932412,-0.382400044736035,15.0204633820616,215.95501025875,-7.37643639675679,1542.48859062041,0.03325,0.0075,0.00075,0,81.351727137001,NA,NA,-0.0342553707335522,-0.25920806919893,0.115906272618881,"Region"
"American Avocet",2004,2024,"15-year","Southeast Coastal",22.0382908127991,-4.09527545397021,54.9964458178504,4256.76929705322,-56.6688666771901,640275.630938585,0.05175,0.0395,0.029,0.01725,20532.5748225218,NA,NA,0.0974868934296021,-0.0243131918403661,0.1676024864756,"Region"
"American Avocet",2004,2024,"15-year","Texas Coastal",-10.7542392610425,-22.472430339008,2.14063147727345,-90.0400646475732,-99.3846482271584,52.7463550455936,0.94775,0.91275,0.877,0.78325,350.51252242325,NA,NA,-0.210768222032568,-0.469253756946678,-0.0217896835873126,"Region"
"American Avocet",1980,2024,"Long-term","Atlantic Canada",-1.57517203409816,-8.54042649384243,6.88178462065654,-55.4820442257819,-98.031735006417,1769.66007411197,0.688,0.6075,0.52875,0.4,0.0733102173972867,NA,NA,-0.0672770856297295,-0.184042911663608,0.0391351439504809,"Region"
"American Avocet",1980,2024,"Long-term","East Inland",-2.43423774970962,-7.12969305562006,2.30725306322545,-65.7099819408263,-96.1400400898152,172.82414341095,0.85975,0.763,0.64175,0.44775,0.0696232895277167,NA,NA,-0.0755712341843813,-0.184816247372984,0.00260815426504956,"Region"
"American Avocet",1980,2024,"Long-term","Midcontinental",-1.19907434255273,-4.15573701835144,2.3672176794591,-44.8569751088211,-84.5506798425113,179.949422297003,0.79175,0.622,0.43125,0.1695,378.724069956073,NA,NA,-0.0628282432353203,-0.166996531183132,-0.0048477610398226,"Region"
"American Avocet",1980,2024,"Long-term","Northeast US Coastal",3.31924530104565,-0.513984794748548,7.59083096786185,305.54550417216,-20.2869047134311,2400.98771278147,0.0505,0.017,0.00475,5e-04,12.9328609191402,NA,NA,-0.0181789538686455,-0.121250617134373,0.0534799540843083,"Region"
"American Avocet",1980,2024,"Long-term","Pacific and Intermountain",2.01170879543135,-1.50428452962292,6.20624673113429,131.758451559958,-48.6709669894217,1314.50159428251,0.14075,0.062,0.0225,0.00575,56.8093075011252,NA,NA,-0.0308943065401507,-0.134281106054613,0.0393664318158731,"Region"
"American Avocet",1980,2024,"Long-term","Southeast Coastal",11.6692326482967,1.28579713618525,23.1119001593178,11672.6286952164,75.443080390553,940060.510247746,0.0125,0.008,0.0055,0.00225,9608.45123148189,NA,NA,0.0585601931250419,0.0108355551272206,0.0960565780404444,"Region"
"American Avocet",1980,2024,"Long-term","Texas Coastal",-1.83456265828847,-8.06682229497538,5.67782447374396,-59.3391453705823,-97.5295274702274,1035.76911510387,0.71675,0.63375,0.556,0.42425,420.228092859072,NA,NA,-0.0697706529435312,-0.188133474820358,0.0267140821355764,"Region"
"American Avocet",2010,2024,"Recent-three-generation","Atlantic Canada",-2.2015389822173,-16.3849660079253,13.500167530174,-28.8695981778728,-91.8345298108172,488.777598432215,0.623,0.495,0.375,0.22175,0.0237521846002,NA,NA,-0.15512699822781,-0.47571758316656,0.0899620544181619,"Region"
"American Avocet",2010,2024,"Recent-three-generation","East Inland",2.7406243451827,-9.0989984220055,17.5206975496136,37.1767428296149,-73.6995947552662,858.519712986282,0.3575,0.221,0.122,0.0355,0.04233245645365,NA,NA,-0.104870844818431,-0.399560495484826,0.112884122059879,"Region"
"American Avocet",2010,2024,"Recent-three-generation","Midcontinental",-3.44751779340617,-10.4719278612113,5.41068602518998,-41.2217716341586,-78.7465588154588,109.114889794766,0.81325,0.6285,0.39875,0.104,306.086779679489,NA,NA,-0.165734813011678,-0.451567597204886,0.00230258286420486,"Region"
"American Avocet",2010,2024,"Recent-three-generation","Northeast US Coastal",16.1391180311165,4.25005517535238,30.5373395257409,674.48415066469,79.088669265027,4071.44574794507,0.00175,5e-04,0,0,27.5832910506049,NA,NA,0.0181915502166067,-0.269199086150777,0.227132492181479,"Region"
"American Avocet",2010,2024,"Recent-three-generation","Pacific and Intermountain",5.04416606753261,-4.45117051443179,17.1864419455922,87.8046479494904,-47.1365778647938,821.050050666905,0.166,0.062,0.02025,0.00225,97.4830267214399,NA,NA,-0.0818235242240786,-0.381591361035796,0.109697334482146,"Region"
"American Avocet",2010,2024,"Recent-three-generation","Southeast Coastal",22.8146773122028,-7.32698894853676,61.7963232212943,1394.83775604362,-65.5375734806471,84148.3224284482,0.08075,0.05625,0.0395,0.02225,28645.9701644501,NA,NA,0.0657118120860545,-0.0636581959580176,0.155118850200426,"Region"
"American Avocet",2010,2024,"Recent-three-generation","Texas Coastal",-10.8063791009661,-25.3338969786706,4.82135806012939,-80.5199504904767,-98.3260929468251,93.3289755659693,0.91525,0.85675,0.788,0.64,243.991487197383,NA,NA,-0.247790380289662,-0.581123182373878,-0.0158565243529665,"Region"
"American Avocet",1996,2010,"Previous-three-generation","Atlantic Canada",-9.42658154364687,-21.4550336763937,3.49000556259363,-75.7030559888884,-96.5986053191598,61.6508439304178,0.9295,0.86425,0.77475,0.58625,0.0913049817716,NA,NA,-0.113937722542069,-0.268717398107752,0.0339675572634233,"Region"
"American Avocet",1996,2010,"Previous-three-generation","East Inland",-4.69733818797832,-12.0632410926196,2.16839272193025,-48.231949558081,-83.4656789194087,35.0305075821357,0.90925,0.72325,0.475,0.16075,0.0528800198869167,NA,NA,-0.0613108697428181,-0.162841247732329,0.0205649894554115,"Region"
"American Avocet",1996,2010,"Previous-three-generation","Midcontinental",-1.12718712250453,-7.30852245693756,5.50250550779036,-15.7236138345354,-65.441309632955,111.679532427607,0.6515,0.33525,0.11725,0.01125,426.578477937579,NA,NA,-0.0243356999840631,-0.0873826738247608,0.019400766239864,"Region"
"American Avocet",1996,2010,"Previous-three-generation","Northeast US Coastal",3.11004282232011,-3.32058073632148,9.87906712422599,52.0435453869732,-37.672962545125,273.946536891849,0.1825,0.04125,0.00625,0.00025,5.46593350463264,NA,NA,0.0176314816810129,-0.0702370843889408,0.0987883489397224,"Region"
"American Avocet",1996,2010,"Previous-three-generation","Pacific and Intermountain",4.44406512793267,-3.19593435419138,13.5934761959671,77.7152285195984,-36.5384952079753,495.590535762511,0.13025,0.038,0.00625,5e-04,35.9295012574462,NA,NA,0.0302165242051179,-0.0608677988172905,0.117174576456542,"Region"
"American Avocet",1996,2010,"Previous-three-generation","Southeast Coastal",15.6618409344401,1.86564638114823,31.6148412348756,631.502708400021,29.5353892680468,4580.23977236139,0.01225,0.00375,0.00125,0.00025,174.171958474741,NA,NA,0.130920481568957,0.0174589848500324,0.228085666370244,"Region"
"American Avocet",1996,2010,"Previous-three-generation","Texas Coastal",-5.35959635551546,-15.4601467344799,6.60632179415489,-55.6766355632562,-90.475085444763,144.884575788362,0.83525,0.7085,0.5645,0.31275,664.183433754167,NA,NA,-0.0693009655912833,-0.189069432170907,0.0369954501294859,"Region"
"Black-bellied Plover",2004,2024,"15-year","Atlantic Canada",-2.73259614039964,-5.28675292294587,0.0707831554650188,-43.3357688480322,-66.2546040772838,1.42522385000534,0.972,0.76125,0.3245,0.005,15.4912133801562,NA,NA,-0.0352027887133866,-0.290644490324054,0.0491975219875884,"Region"
"Black-bellied Plover",2004,2024,"15-year","East Inland",5.38664682917956,-5.63383563203251,19.1444277484142,163.615680316443,-68.6436077716995,3222.57658619479,0.20125,0.1245,0.06725,0.02075,3.23711996069354,NA,NA,0.0433078555203687,-0.231674879049504,0.192995916525633,"Region"
"Black-bellied Plover",2004,2024,"15-year","Midcontinental",1.20451294700182,-4.21827793293575,7.89549456122855,22.1823142499312,-57.7669134716599,357.157889160608,0.3665,0.1615,0.05225,0.005,2.34468400638332,NA,NA,0.00411066124707752,-0.253705120352707,0.111180733446127,"Region"
"Black-bellied Plover",2004,2024,"15-year","Northeast US Coastal",-11.1377807768436,-13.9959748943904,-8.77241049634026,-90.4388229660454,-95.0979747282223,-84.0586878125858,1,1,1,1,35.6853857287048,NA,NA,-0.125590376546885,-0.386552889773605,-0.0498993788081505,"Region"
"Black-bellied Plover",2004,2024,"15-year","Ontario",-11.9245195138577,-15.2791191018388,-8.42667891491983,-92.1405996894336,-96.3708136794219,-82.8059058382634,1,1,1,0.9995,0.731870459994048,NA,NA,-0.134572037032866,-0.393731765202414,-0.0420457996954653,"Region"
"Black-bellied Plover",2004,2024,"15-year","Pacific and Intermountain",31.2794070994295,3.58929517742382,88.4398331718539,9550.04022759628,102.44057571921,31875228.3678648,0.00325,0.00125,0.00125,5e-04,2681.56327335643,NA,NA,0.250336878179245,0.0667319315894091,0.386356010852631,"Region"
"Black-bellied Plover",2004,2024,"15-year","Southeast Coastal",2.51459715849758,-3.32506221203296,12.3813153891339,47.4751279483958,-49.1515100410007,932.482245211992,0.245,0.08675,0.023,0.0025,28.7653968646036,NA,NA,0.0167129776072095,-0.247493834280501,0.104009523222522,"Region"
"Black-bellied Plover",2004,2024,"15-year","Texas Coastal",-6.39285219735259,-19.2196381727393,8.87267671510563,-74.883166550259,-98.6000390436095,447.492319463434,0.835,0.76775,0.69,0.55325,26.3281424763095,NA,NA,-0.0761856784999617,-0.351267597927362,0.107397434560813,"Region"
"Black-bellied Plover",1980,2024,"Long-term","Atlantic Canada",-2.55041091709992,-3.73319041159325,-1.22733418838721,-68.2066273196619,-81.2513716042541,-41.9211333519257,0.9995,0.99375,0.93325,0.4215,20.5641870828875,NA,NA,0.0161175690995845,-0.0996184086699551,0.0813668444152542,"Region"
"Black-bellied Plover",1980,2024,"Long-term","East Inland",2.33869332100616,-2.50629485275163,8.2097209917103,153.576153631837,-67.2682416474992,3118.96575882575,0.208,0.1225,0.069,0.01825,2.22562625869968,NA,NA,0.0647292127327445,-0.0577746528300533,0.147628342767153,"Region"
"Black-bellied Plover",1980,2024,"Long-term","Midcontinental",-2.05021328424928,-8.64604866470828,1.83327391836361,-49.5455435412329,-98.1293057328542,122.406310037505,0.818,0.66375,0.497,0.30125,5.12582635448432,NA,NA,0.0208980844390917,-0.0981606234110402,0.0949604128945209,"Region"
"Black-bellied Plover",1980,2024,"Long-term","Northeast US Coastal",-5.66996083686448,-8.63985684049384,-4.07270311450172,-91.4383143577484,-98.1237148283393,-83.9506627721832,1,1,1,1,164.260674930348,NA,NA,-0.0164701644165518,-0.133049379379285,0.0497553324233477,"Region"
"Black-bellied Plover",1980,2024,"Long-term","Ontario",-2.47424588113839,-4.10942549946142,-0.75325266557868,-66.9256387510262,-84.2187822430158,-28.3004467824139,0.99775,0.97225,0.86,0.39925,1.03658232754722,NA,NA,0.0168837410674877,-0.10093494983048,0.082925517933301,"Region"
"Black-bellied Plover",1980,2024,"Long-term","Pacific and Intermountain",-3.39088106869874,-16.9139322131623,14.6621854078828,-85.4639993465972,-99.9712100409708,41061.3851100335,0.68975,0.65575,0.6245,0.5735,1658.00403793701,NA,NA,0.00392215385226494,-0.100663627336535,0.118912183519007,"Region"
"Black-bellied Plover",1980,2024,"Long-term","Southeast Coastal",-5.8020433317544,-10.1040493012181,-0.885939927184614,-93.1280305622757,-99.078350673232,-32.3991945753219,0.98525,0.976,0.961,0.92475,114.618004044301,NA,NA,-0.0180924949852162,-0.136819585644552,0.0520278518936685,"Region"
"Black-bellied Plover",1980,2024,"Long-term","Texas Coastal",-4.61265041080095,-8.3924520518478,-0.176839817624839,-88.1250258227292,-97.8866303363528,-7.49230490086197,0.9785,0.9605,0.92675,0.829,76.2888249764444,NA,NA,-0.00548658503138113,-0.124467174375123,0.0752457079888372,"Region"
"Black-bellied Plover",2001,2024,"Recent-three-generation","Atlantic Canada",-2.50834460140674,-4.69425848211715,-0.0491574215350658,-45.198537205426,-66.9068180074038,-1.1245265470528,0.97675,0.79475,0.3585,0.00975,15.9697074141432,NA,NA,-0.0215831653037059,-0.245924894549448,0.0557954943607573,"Region"
"Black-bellied Plover",2001,2024,"Recent-three-generation","East Inland",4.62071513928655,-5.05491140884575,16.5848327742162,160.051025029714,-69.6703358544812,3310.10129432265,0.2055,0.1315,0.07225,0.02375,3.02441708850268,NA,NA,0.04768416010849,-0.191367628160385,0.181222579691682,"Region"
"Black-bellied Plover",2001,2024,"Recent-three-generation","Midcontinental",0.780227224850279,-4.11770314967235,6.84822355294394,16.1478961843761,-61.9824680928672,358.826025243443,0.40375,0.198,0.0725,0.00975,2.3024711203227,NA,NA,0.0112930467117557,-0.214834641314135,0.108122569176321,"Region"
"Black-bellied Plover",2001,2024,"Recent-three-generation","Northeast US Coastal",-10.7824879237027,-14.2383151847114,-8.11828058799892,-92.4950608445358,-97.0775563525655,-85.7350702873138,1,1,1,1,49.3883857821703,NA,NA,-0.110349211159257,-0.337407058487802,-0.0436779368158104,"Region"
"Black-bellied Plover",2001,2024,"Recent-three-generation","Ontario",-11.4014709486438,-14.2703781221692,-8.49336570446875,-93.8714109094088,-97.1025837614471,-87.0159736222276,1,1,1,1,0.928235614265625,NA,NA,-0.117299698778456,-0.34712149685465,-0.0334598701044315,"Region"
"Black-bellied Plover",2001,2024,"Recent-three-generation","Pacific and Intermountain",23.9105157737689,1.44177333932392,69.599938597495,6118.14901016207,38.9912612695781,18914817.33775,0.01175,0.00475,0.00275,0.001,2346.42145537717,NA,NA,0.207585901787485,0.0494742423287771,0.32348471841412,"Region"
"Black-bellied Plover",2001,2024,"Recent-three-generation","Southeast Coastal",1.45322334913636,-3.6890338643273,10.0420670716987,25.1151792912111,-57.8747968596182,803.340877045879,0.34825,0.14775,0.05175,0.005,29.0623625339036,NA,NA,0.0177588140201303,-0.213393072457562,0.0980190170743855,"Region"
"Black-bellied Plover",2001,2024,"Recent-three-generation","Texas Coastal",-7.82903547406373,-17.9468508893777,4.24977984525504,-85.508577733013,-98.9427147324763,160.45250886241,0.918,0.882,0.8265,0.7095,35.6570539292708,NA,NA,-0.0794241341956546,-0.319595736879053,0.0710240708798964,"Region"
"Black-bellied Plover",1980,2001,"Previous-three-generation","Atlantic Canada",-2.58615750421339,-4.94334218128235,-0.495769130267157,-42.0417715458433,-65.5147518060274,-9.91084982749159,0.991,0.791,0.268,0.00875,25.5246003095213,NA,NA,0.0574088496365217,-0.0121215497973777,0.17474974059541,"Region"
"Black-bellied Plover",1980,2001,"Previous-three-generation","East Inland",-0.0129689732378767,-3.72167789508809,3.15359531203643,1.08097328609805,-54.9080462423577,91.9428238299359,0.48975,0.14925,0.0395,0.00425,1.32289429668141,NA,NA,0.0833976037021661,0.00662607418805917,0.201675357827537,"Region"
"Black-bellied Plover",1980,2001,"Previous-three-generation","Midcontinental",-4.95053830979884,-18.4941047098401,1.37989029223517,-52.9915366428836,-98.6355111086222,33.3485070940535,0.90825,0.73225,0.538,0.322,8.06729503775748,NA,NA,0.0314178876642692,-0.122017742979732,0.158719539703654,"Region"
"Black-bellied Plover",1980,2001,"Previous-three-generation","Northeast US Coastal",0.30128347261159,-5.78534065030773,4.90624976989711,11.9476602379866,-71.3919543742344,173.418947682267,0.408,0.188,0.08425,0.0275,289.395049152906,NA,NA,0.0863497439206968,0.0177575980363569,0.205467408049973,"Region"
"Black-bellied Plover",1980,2001,"Previous-three-generation","Ontario",8.35603366579207,5.59545978456502,11.1885419705134,436.218188301291,213.72574365278,827.386447793193,0,0,0,0,1.21793464407955,NA,NA,0.163846556136855,0.0922014632258767,0.282296015104539,"Region"
"Black-bellied Plover",1980,2001,"Previous-three-generation","Pacific and Intermountain",-25.6704129851827,-40.9617519069079,-9.34126393426103,-99.8147372537251,-99.9984375596451,-87.2472751248603,0.99675,0.9955,0.99425,0.99075,831.661621637573,NA,NA,-0.219138141505357,-0.342173163097604,-0.0154160198364674,"Region"
"Black-bellied Plover",1980,2001,"Previous-three-generation","Southeast Coastal",-13.076680802433,-20.4608388076557,-6.03944275662668,-94.6343047469618,-99.1830393472173,-72.9693021105563,1,0.99975,0.9975,0.9815,204.250361819803,NA,NA,-0.0573582143720242,-0.118714197873151,0.0764549415042076,"Region"
"Black-bellied Plover",1980,2001,"Previous-three-generation","Texas Coastal",-0.642113074874886,-11.9298136993753,11.0624732793584,-13.6925530409147,-93.0592367638222,805.555339304165,0.549,0.437,0.33475,0.19975,122.314064989091,NA,NA,0.0754926354818707,-0.0572237727974997,0.230803439370912,"Region"
"American Golden-Plover",2004,2024,"15-year","Atlantic Canada",-6.87595542694443,-12.9466467823829,0.405024226712211,-76.8134191013351,-93.7524443062998,8.41991318869105,0.97025,0.92775,0.85275,0.63775,3.27594926715599,NA,NA,-0.0457357063743695,-0.163344806823238,0.00597979389669743,"Region"
"American Golden-Plover",2004,2024,"15-year","East Inland",0.102733861411265,-8.88289182254702,13.8182740212838,-11.5954098141542,-84.440395136505,1231.18998913479,0.54475,0.4175,0.29475,0.141,2.82747038730153,NA,NA,0.0255601080278362,-0.0968845167531596,0.103046941839842,"Region"
"American Golden-Plover",2004,2024,"15-year","Midcontinental",1.36466508942055,-15.1171507396688,21.1085919742241,15.8011061293503,-96.2294989972248,4507.85817749559,0.46225,0.3795,0.3135,0.2215,7.03345364840193,NA,NA,0.0355764608668359,-0.129920896061793,0.153826240463763,"Region"
"American Golden-Plover",2004,2024,"15-year","Northeast US Coastal",-3.03494332849134,-7.40581652547313,2.78553075341866,-48.2102122101623,-78.5378052838279,73.2366025765429,0.8855,0.724,0.4705,0.136,0.149746482028369,NA,NA,-0.00501669285056874,-0.121547071939804,0.0773070117258408,"Region"
"American Golden-Plover",2004,2024,"15-year","Ontario",-15.4736343994116,-21.9917314457959,-9.24061515656864,-96.5222591833488,-99.3036737415862,-85.6176107503889,1,1,0.99975,0.9995,0.0791673648915952,NA,NA,-0.142711162282093,-0.275902759111046,-0.042739357053934,"Region"
"American Golden-Plover",1980,2024,"Long-term","Atlantic Canada",-8.31402479672188,-12.6167174879093,-4.17785712557584,-97.7483860880556,-99.7352428751798,-84.7067888357919,1,1,0.99975,0.996,22.5052261356631,NA,NA,-0.0253250188773856,-0.0797951796881305,-0.00223254549955648,"Region"
"American Golden-Plover",1980,2024,"Long-term","East Inland",-1.07858037969186,-5.28575912495993,4.30439004996612,-44.9895076817173,-90.8320436371034,538.729911085439,0.69975,0.586,0.46375,0.25925,2.69719699390863,NA,NA,0.0505989849126623,-0.0146559743583887,0.110647695853237,"Region"
"American Golden-Plover",1980,2024,"Long-term","Midcontinental",0.259103608777251,-7.88555983128459,9.6225298467915,3.59148233584999,-97.3058637164042,5596.29024092152,0.49325,0.4245,0.35425,0.25675,4.24972107893451,NA,NA,0.0633186160641041,-0.0237788560400838,0.13636564343237,"Region"
"American Golden-Plover",1980,2024,"Long-term","Northeast US Coastal",-3.6306701372936,-5.77419269455767,-0.868067406847585,-81.2703042341965,-92.6974564939589,-31.8607655987524,0.9925,0.97775,0.93975,0.802,0.289666055942428,NA,NA,0.0246831902463384,-0.0379165548263661,0.0808388673725805,"Region"
"American Golden-Plover",1980,2024,"Long-term","Ontario",-4.94557042886485,-8.05078589080941,-2.06453730535831,-89.05345701924,-97.5104941485082,-60.0644988146429,1,0.99925,0.98875,0.93275,0.157524492101078,NA,NA,0.0108971966168724,-0.0588733564667623,0.0697172427211947,"Region"
"American Golden-Plover",2011,2024,"Recent-three-generation","Atlantic Canada",-6.64552948860972,-14.9559227804023,3.70208606373664,-60.5955800220643,-87.8276888012153,60.4122038032003,0.91275,0.81025,0.65,0.34325,2.44666553260975,NA,NA,-0.0556848967039129,-0.219898575031654,0.0183444738659224,"Region"
