"trend_dif","lci","uci","prob_neg","trend_type","species","start_year1","end_year1","start_year2","end_year2","parameter"
2.57548964690548,-0.908151624912957,9.12678320700016,0.146,"Three Generation vs Long-term","American Avocet",1980,2021,2007,2021,"NSmooth"
2.56449882738028,-1.77698757752812,10.7571053522537,0.199666666666667,"Three Generation vs Earlier Three Generation","American Avocet",1993,2007,2007,2021,"NSmooth"
3.86011475402509,-1.38230622141021,13.5589015454351,0.146,"Three Generation vs All Previous","American Avocet",1980,2007,2007,2021,"NSmooth"
-0.311181203855982,-2.0339865681036,1.37392372691275,0.646666666666667,"Three Generation vs Long-term","Black-bellied Plover",1980,2021,1998,2021,"NSmooth"
-0.721244710279028,-4.69638082734814,3.10167227403342,0.646666666666667,"Three Generation vs Earlier Three Generation","Black-bellied Plover",1980,1998,1998,2021,"NSmooth"
-0.721244710279028,-4.69638082734814,3.10167227403342,0.646666666666667,"Three Generation vs All Previous","Black-bellied Plover",1980,1998,1998,2021,"NSmooth"
-1.00297966055824,-5.4925432713076,2.73883660097988,0.676333333333333,"Three Generation vs Long-term","American Golden-Plover",1980,2021,2008,2021,"NSmooth"
-0.368520523123998,-6.85769344102355,4.47876966432619,0.504333333333333,"Three Generation vs Earlier Three Generation","American Golden-Plover",1995,2008,2008,2021,"NSmooth"
-1.48767817443623,-8.15461357671196,3.98468278138966,0.676333333333333,"Three Generation vs All Previous","American Golden-Plover",1980,2008,2008,2021,"NSmooth"
-0.244798013152498,-2.2100957341729,1.17559379112148,0.594,"Three Generation vs Long-term","Semipalmated Plover",1980,2021,2010,2021,"NSmooth"
-0.175994955159781,-2.41560292956314,1.33579729001851,0.548333333333333,"Three Generation vs Earlier Three Generation","Semipalmated Plover",1999,2010,2010,2021,"NSmooth"
-0.336346345816172,-3.03303902572904,1.60322140261412,0.594,"Three Generation vs All Previous","Semipalmated Plover",1980,2010,2010,2021,"NSmooth"
0.386264145163232,-2.66472681029099,4.67017197949048,0.431333333333333,"Three Generation vs Long-term","Piping Plover",1980,2021,2010,2021,"NSmooth"
1.16283176982242,-2.09324103830863,7.05296757184756,0.292333333333333,"Three Generation vs Earlier Three Generation","Piping Plover",1999,2010,2010,2021,"NSmooth"
0.520505008495819,-3.66042616203719,6.32819756045776,0.431333333333333,"Three Generation vs All Previous","Piping Plover",1980,2010,2010,2021,"NSmooth"
-3.02003427388422,-6.7161604863922,0.173580472183879,0.966444444444444,"Three Generation vs Long-term","Killdeer",1980,2021,2009,2021,"NSmooth"
-1.86717695567194,-6.63778356624797,1.934209049829,0.809111111111111,"Three Generation vs Earlier Three Generation","Killdeer",1997,2009,2009,2021,"NSmooth"
-4.30749958180977,-9.63886577159865,0.245317229152603,0.966444444444444,"Three Generation vs All Previous","Killdeer",1980,2009,2009,2021,"NSmooth"
-2.74590442189116,-5.0848308745343,-0.457393635192132,0.990666666666667,"Three Generation vs Long-term","Whimbrel",1980,2021,2001,2021,"NSmooth"
-5.27855822967621,-9.92416222111501,-0.835195049125385,0.989888888888889,"Three Generation vs Earlier Three Generation","Whimbrel",1981,2001,2001,2021,"NSmooth"
-5.44968774849904,-10.1903909721533,-0.894977786428737,0.990666666666667,"Three Generation vs All Previous","Whimbrel",1980,2001,2001,2021,"NSmooth"
-3.12758495336073,-5.97358843600301,-0.450124396445549,0.99,"Three Generation vs Long-term","Hudsonian Godwit",1980,2021,2002,2021,"NSmooth"
-5.0191781100562,-10.1132412240033,-0.180927231932389,0.980666666666667,"Three Generation vs Earlier Three Generation","Hudsonian Godwit",1983,2002,2002,2021,"NSmooth"
-5.93356931778117,-11.4547775513172,-0.840552539621559,0.99,"Three Generation vs All Previous","Hudsonian Godwit",1980,2002,2002,2021,"NSmooth"
-1.2127462416977,-4.07416891729323,0.630169441505874,0.826,"Three Generation vs Long-term","Marbled Godwit",1980,2021,1998,2021,"NSmooth"
-2.81019574035331,-9.53652995184819,1.4296746221956,0.826,"Three Generation vs Earlier Three Generation","Marbled Godwit",1980,1998,1998,2021,"NSmooth"
-2.81019574035331,-9.53652995184819,1.4296746221956,0.826,"Three Generation vs All Previous","Marbled Godwit",1980,1998,1998,2021,"NSmooth"
1.6505581687008,-0.208666166472864,3.58549192156639,0.0422222222222222,"Three Generation vs Long-term","Ruddy Turnstone",1980,2021,2002,2021,"NSmooth"
3.42415137643456,0.182484596240669,6.72628265283037,0.02,"Three Generation vs Earlier Three Generation","Ruddy Turnstone",1983,2002,2002,2021,"NSmooth"
3.04599453948653,-0.389249390868013,6.57812211456329,0.0422222222222222,"Three Generation vs All Previous","Ruddy Turnstone",1980,2002,2002,2021,"NSmooth"
-3.17633464748468,-5.48406557925227,-0.895811359469682,0.997333333333333,"Three Generation vs Long-term","Red Knot",1980,2021,2000,2021,"NSmooth"
-6.64734290929459,-11.6054001384235,-1.84551439804163,0.997333333333333,"Three Generation vs Earlier Three Generation","Red Knot",1980,2000,2000,2021,"NSmooth"
-6.64734290929459,-11.6054001384235,-1.84551439804163,0.997333333333333,"Three Generation vs All Previous","Red Knot",1980,2000,2000,2021,"NSmooth"
-1.00624589009461,-4.64523859690905,2.45636958630037,0.711333333333333,"Three Generation vs Long-term","Stilt Sandpiper",1980,2021,2008,2021,"NSmooth"
-1.08769179762299,-6.67126603210925,3.848782968028,0.640333333333333,"Three Generation vs Earlier Three Generation","Stilt Sandpiper",1995,2008,2008,2021,"NSmooth"
-1.48867944297474,-6.88221319180908,3.57603745773338,0.711333333333333,"Three Generation vs All Previous","Stilt Sandpiper",1980,2008,2008,2021,"NSmooth"
0.102463385053761,-2.38489766888679,2.79780019659045,0.461666666666667,"Three Generation vs Long-term","Sanderling",1980,2021,2001,2021,"NSmooth"
0.208658916674054,-4.56134271189839,5.2333711482305,0.457333333333333,"Three Generation vs Earlier Three Generation","Sanderling",1981,2001,2001,2021,"NSmooth"
0.183831653769804,-4.711972381443,5.38964393301163,0.461666666666667,"Three Generation vs All Previous","Sanderling",1980,2001,2001,2021,"NSmooth"
0.223613960120269,-2.00601545363903,2.57499124436401,0.431888888888889,"Three Generation vs Long-term","Dunlin",1980,2021,1999,2021,"NSmooth"
0.463943215792731,-4.38246932692313,5.47104360165856,0.431888888888889,"Three Generation vs Earlier Three Generation","Dunlin",1980,1999,1999,2021,"NSmooth"
0.463943215792731,-4.38246932692313,5.47104360165856,0.431888888888889,"Three Generation vs All Previous","Dunlin",1980,1999,1999,2021,"NSmooth"
0.281071321681052,-3.57616066013561,3.98108290382233,0.420444444444444,"Three Generation vs Long-term","Baird's Sandpiper",1980,2021,2010,2021,"NSmooth"
-0.576068653988676,-7.01997785519677,3.2657331973907,0.534333333333333,"Three Generation vs Earlier Three Generation","Baird's Sandpiper",1999,2010,2010,2021,"NSmooth"
0.376091105810156,-4.92092356636629,5.40175293035777,0.420444444444444,"Three Generation vs All Previous","Baird's Sandpiper",1980,2010,2010,2021,"NSmooth"
-6.55675150975289,-10.9138005893532,-2.14859338414489,0.998333333333333,"Three Generation vs Long-term","Least Sandpiper",1980,2021,2010,2021,"NSmooth"
-5.59989959419965,-11.2346512679278,-0.00442139483238989,0.975,"Three Generation vs Earlier Three Generation","Least Sandpiper",1999,2010,2010,2021,"NSmooth"
-9.09032685028746,-15.2449106535043,-2.94814407561569,0.998333333333333,"Three Generation vs All Previous","Least Sandpiper",1980,2010,2010,2021,"NSmooth"
-3.49409611403097,-7.81700722057565,0.0845008589858924,0.966333333333333,"Three Generation vs Long-term","White-rumped Sandpiper",1980,2021,2010,2021,"NSmooth"
-2.5960260812157,-7.64377207297305,1.0461579327845,0.907666666666667,"Three Generation vs Earlier Three Generation","White-rumped Sandpiper",1999,2010,2010,2021,"NSmooth"
-4.81874246337427,-10.8478614369212,0.115466838913691,0.966333333333333,"Three Generation vs All Previous","White-rumped Sandpiper",1980,2010,2010,2021,"NSmooth"
0.0826067326847312,-3.27623866850493,3.54235701718844,0.474111111111111,"Three Generation vs Long-term","Buff-breasted Sandpiper",1980,2021,2009,2021,"NSmooth"
0.310955762101091,-3.58670052094497,4.47567463673317,0.417333333333333,"Three Generation vs Earlier Three Generation","Buff-breasted Sandpiper",1997,2009,2009,2021,"NSmooth"
0.109406731674098,-4.66404999165694,4.97282308301101,0.474111111111111,"Three Generation vs All Previous","Buff-breasted Sandpiper",1980,2009,2009,2021,"NSmooth"
-3.367707959605,-6.73783251624084,-0.194314815874745,0.981222222222222,"Three Generation vs Long-term","Pectoral Sandpiper",1980,2021,2007,2021,"NSmooth"
-2.71502881883519,-7.6877079903552,1.51766110203431,0.885222222222222,"Three Generation vs Earlier Three Generation","Pectoral Sandpiper",1993,2007,2007,2021,"NSmooth"
-5.17391732298503,-10.4270630092458,-0.295222352809739,0.981222222222222,"Three Generation vs All Previous","Pectoral Sandpiper",1980,2007,2007,2021,"NSmooth"
0.251155072363614,-2.81470000053183,3.24563131796464,0.412222222222222,"Three Generation vs Long-term","Semipalmated Sandpiper",1980,2021,2009,2021,"NSmooth"
0.0602435443688415,-4.26793894700143,3.3696409107324,0.438,"Three Generation vs Earlier Three Generation","Semipalmated Sandpiper",1997,2009,2009,2021,"NSmooth"
0.348894698105996,-4.00382378796691,4.55793302777906,0.412222222222222,"Three Generation vs All Previous","Semipalmated Sandpiper",1980,2009,2009,2021,"NSmooth"
2.20485940542487,-2.75078496750485,8.69846395984121,0.217666666666667,"Three Generation vs Long-term","Short-billed Dowitcher",1980,2021,2009,2021,"NSmooth"
3.06756608944938,-2.36141550020804,10.3461437053681,0.143333333333333,"Three Generation vs Earlier Three Generation","Short-billed Dowitcher",1997,2009,2009,2021,"NSmooth"
3.07820023772519,-3.91237303750166,12.0832460189065,0.217666666666667,"Three Generation vs All Previous","Short-billed Dowitcher",1980,2009,2009,2021,"NSmooth"
-3.61842190481676,-8.73019553786485,1.40047617848436,0.924666666666667,"Three Generation vs Long-term","Long-billed Dowitcher",1980,2021,2009,2021,"NSmooth"
-1.44603652510046,-9.02290674167207,5.90909521507655,0.662444444444444,"Three Generation vs Earlier Three Generation","Long-billed Dowitcher",1997,2009,2009,2021,"NSmooth"
-5.17963219907233,-12.6002442579898,1.97395220678158,0.924666666666667,"Three Generation vs All Previous","Long-billed Dowitcher",1980,2009,2009,2021,"NSmooth"
3.45305145624778,1.03422356477525,6.26304537733992,0.002,"Three Generation vs Long-term","Spotted Sandpiper",1980,2021,2010,2021,"NSmooth"
