"species","start_year","end_year","trend_type","trend","lci","uci","percent_change","p_ch_lci","p_ch_uci","prob_decline","prob_decline_GT30","prob_decline_GT50","prob_decline_GT70","mean_abundance","mean_observed","mean_n_surveys"
"American Avocet",1980,2024,"Long-term",0.696268750337382,-0.81745210946337,2.7044011181045,27.5258648451437,-30.31304767912,223.53287741549,0.2285,0.02625,0.003,0,5.89443668088889,52.4210154373409,137.777777777778
"American Avocet",2004,2024,"15-year",2.36968953008922,-0.704592413081719,7.36713876516206,48.4913522586349,-13.1872969622038,314.407592482313,0.132,0.00275,0,0,6.43200015619048,32.1102522993202,92.4285714285714
"American Avocet",1980,1995,"First-15-year",-1.13621974954744,-5.76351302817159,2.43283983326463,-10.6579358913782,-58.952537358282,43.4128941694461,0.70175,0.253,0.068,0.0035,5.48029484109375,93.8077538435635,170.125
"American Avocet",2010,2024,"Recent-three-generation",3.21627334133931,-0.79431839996954,10.8007491236361,42.6840712565243,-10.5641509264049,320.337134479457,0.12325,0.00075,0,0,6.87793846233333,35.1479320768377,81.8666666666667
"American Avocet",1996,2010,"Previous-three-generation",0.257318308814547,-3.35893371214929,3.22017655128098,3.53565119546065,-38.0182274275119,55.849125609278,0.39575,0.05175,0.00525,0.00025,5.32389913383333,24.3698500046651,160.2
"Black-bellied Plover",1980,2024,"Long-term",-3.48318164747029,-4.66320960335787,-2.32310492134428,-79.0257245679175,-87.7689655088575,-64.4498665391871,1,1,0.9995,0.904,7.72036565222222,25.5482556937177,938.355555555556
"Black-bellied Plover",2004,2024,"15-year",-3.25379838719025,-5.59457102618157,-0.904555319596752,-48.5119174862529,-68.3816345209449,-16.6177102177565,0.99575,0.89175,0.45275,0.01375,4.27124750619048,17.1837455680216,886.333333333333
"Black-bellied Plover",1980,1995,"First-15-year",-3.57343474127873,-6.92857122098883,-0.546892206250284,-41.7687997614889,-65.9399153610256,-7.8966583712874,0.989,0.77975,0.26875,0.009,12.4102093654688,33.8347083066607,932.8125
"Black-bellied Plover",2001,2024,"Recent-three-generation",-3.32592637003518,-5.40033784875323,-1.21759807054145,-54.1014431717568,-72.1092321274699,-24.5550103824429,0.99825,0.95575,0.6325,0.04825,4.57471734416667,20.4293817842504,914.333333333333
"Black-bellied Plover",1980,2001,"Previous-three-generation",-3.64542119725755,-6.04680992079555,-1.3952903640683,-53.8166861770018,-73.0137682299185,-25.5523775024773,0.99825,0.95775,0.6295,0.05275,11.1174081081818,31.9528871154621,973.363636363636
"American Golden-Plover",1980,2024,"Long-term",-3.11666821055245,-4.72889086274119,-1.65612104454364,-74.8141400149736,-88.1342877688993,-52.0396090244078,1,0.99825,0.98125,0.6995,0.380967463986111,0.676064727518159,546.911111111111
"American Golden-Plover",2004,2024,"15-year",-4.76877916486718,-8.16046259431172,-1.62668269442285,-61.9335747566901,-81.7780953865301,-27.9645391124212,0.9995,0.96925,0.7835,0.266,0.226677205791667,0.564795546424444,405.571428571429
"American Golden-Plover",1980,1995,"First-15-year",-0.446638652264739,-3.68061125716286,2.95560409592207,-7.03961394666174,-43.0221875159691,54.7924874961017,0.6105,0.124,0.00825,0,0.55562380784375,0.571655114768817,665.8125
"American Golden-Plover",2011,2024,"Recent-three-generation",-4.74991238027792,-9.34559733038707,-0.795335564203693,-46.0916229010454,-72.0709784552572,-9.86007304756173,0.991,0.81875,0.39475,0.0415,0.1856701986875,0.427392437102743,334.142857142857
